GROUP i	CENTER.A.X d	CENTER.A.Y d	CENTER.B.X d	CENTER.B.Y d	CENTER.C.X d	CENTER.C.Y d	COUNT i
1	-0.21850801	-0.67249851	-0.07391279	-0.70323318	-0.15213002	-0.56775696	0
2	0.21850801	-0.67249851	0.29389263	-0.50903696	0.15213002	-0.56775696	0
2	0.07391279	-0.70323318	0.15213002	-0.56775696	0.00000000	-0.58778525	0
2	-0.07391279	-0.70323318	0.00000000	-0.58778525	-0.15213002	-0.56775696	0
3	-0.35355339	-0.61237244	-0.21850801	-0.67249851	-0.29389263	-0.50903696	0
4	-0.29389263	-0.50903696	-0.21850801	-0.67249851	-0.15213002	-0.56775696	0
1	0.15213002	-0.56775696	0.29389263	-0.50903696	0.22699525	-0.39316731	0
1	0.00000000	-0.58778525	0.15213002	-0.56775696	0.07883462	-0.44709336	0
1	-0.15213002	-0.56775696	0.00000000	-0.58778525	-0.07883462	-0.44709336	0
2	0.15213002	-0.56775696	0.22699525	-0.39316731	0.07883462	-0.44709336	0
2	0.00000000	-0.58778525	0.07883462	-0.44709336	-0.07883462	-0.44709336	0
3	-0.29389263	-0.50903696	-0.15213002	-0.56775696	-0.22699525	-0.39316731	0
4	-0.22699525	-0.39316731	-0.15213002	-0.56775696	-0.07883462	-0.44709336	0
1	0.07883462	-0.44709336	0.22699525	-0.39316731	0.15450850	-0.26761657	0
1	-0.07883462	-0.44709336	0.07883462	-0.44709336	0.00000000	-0.30901699	0
2	0.07883462	-0.44709336	0.15450850	-0.26761657	0.00000000	-0.30901699	0
3	-0.22699525	-0.39316731	-0.07883462	-0.44709336	-0.15450850	-0.26761657	0
4	-0.15450850	-0.26761657	-0.07883462	-0.44709336	0.00000000	-0.30901699	0
